id,nacionalidad,tipo_sonido,cant_jug,fichas_max,salon,game
403,Czech Republic,MONO,5,168,Salon Carreras,castelvania
418,Russia,MONO,3,150,Salon Retro,castelvania
435,China,MONO,3,340,Salon 4,castelvania
485,France,MONO,4,142,Salon Carreras,castelvania
493,Chad,MONO,5,186,Salon VR,castelvania
29,Mauritius,STEREO,4,393,Salon 1,double dragon
214,Indonesia,MONO,5,494,Salon VR,double dragon
249,Greece,STEREO,2,345,Salon VR,double dragon
258,Indonesia,MONO,2,232,Salon 2021,double dragon
276,Indonesia,STEREO,2,223,Salon 2021,double dragon
315,Czech Republic,MONO,3,110,Salon Carreras,double dragon
327,Greece,STEREO,2,172,Salon 3,double dragon
328,Brazil,STEREO,3,135,Salon 1,double dragon
329,Albania,MONO,3,386,Salon 3,double dragon
367,China,MONO,2,381,Salon 3,double dragon
376,Martinique,STEREO,5,387,Salon 4,double dragon
382,Peru,MONO,2,491,Salon 2,double dragon
383,Indonesia,MONO,5,456,Salon VR,double dragon
384,Japan,STEREO,2,134,Salon VR,double dragon
396,China,MONO,4,439,Salon Carreras,double dragon
397,Philippines,MONO,2,144,Salon 4,double dragon
404,Indonesia,STEREO,4,351,Salon 3,double dragon
405,Indonesia,MONO,5,394,Salon Retro,double dragon
410,Russia,STEREO,5,161,Salon 3,double dragon
425,Poland,STEREO,4,288,Salon 4,double dragon
427,China,STEREO,5,166,Salon 2021,double dragon
487,China,MONO,4,236,Salon 2021,double dragon
500,Morocco,MONO,4,327,Salon VR,double dragon
123,Nigeria,STEREO,5,390,Salon Retro,frogger
142,France,MONO,5,494,Salon 2021,frogger
156,Nepal,MONO,5,217,Salon 2021,frogger
221,China,STEREO,2,439,Salon 3,frogger
239,Brazil,MONO,2,211,Salon 6,frogger
250,China,STEREO,3,335,Salon 3,frogger
257,Russia,MONO,2,287,Salon 2021,frogger
280,Russia,MONO,3,454,Salon VR,frogger
285,Thailand,STEREO,3,260,Salon 4,frogger
289,Sweden,MONO,2,227,Salon 3,frogger
292,China,MONO,4,154,Salon VR,frogger
303,Mexico,STEREO,5,197,Salon 3,frogger
310,China,STEREO,3,145,Salon Retro,frogger
355,Portugal,MONO,4,174,Salon 2,frogger
389,Indonesia,STEREO,4,147,Salon 2021,frogger
390,Liberia,MONO,3,223,Salon 6,frogger
432,Ukraine,STEREO,5,473,Salon 3,frogger
39,China,STEREO,3,392,Salon 2021,galaga
48,Indonesia,MONO,3,372,Salon 1,galaga
55,Iran,MONO,2,469,Salon VR,galaga
70,Albania,STEREO,4,376,Salon VR,galaga
78,Colombia,STEREO,3,227,Salon 1,galaga
160,Malaysia,STEREO,5,442,Salon 2,galaga
217,Portugal,STEREO,2,500,Salon Carreras,galaga
247,Iran,MONO,5,477,Salon Carreras,galaga
279,Thailand,MONO,3,264,Salon Retro,galaga
306,Nicaragua,STEREO,5,122,Salon 2,galaga
346,Malaysia,STEREO,4,401,Salon VR,galaga
363,Philippines,MONO,2,331,Salon 2,galaga
379,Canada,MONO,4,100,Salon 2,galaga
402,Philippines,STEREO,4,122,Salon 6,galaga
416,South Africa,STEREO,2,288,Salon 1,galaga
419,Portugal,STEREO,5,131,Salon 4,galaga
423,Indonesia,STEREO,2,218,Salon 6,galaga
445,Canada,STEREO,4,403,Salon 4,galaga
449,China,MONO,5,476,Salon 4,galaga
451,Finland,STEREO,4,335,Salon 2021,galaga
460,Poland,MONO,5,288,Salon 2,galaga
498,Mozambique,MONO,4,359,Salon 2021,galaga
14,Indonesia,STEREO,2,347,Salon Carreras,metal slug
43,Philippines,STEREO,5,496,Salon 5,metal slug
72,Ecuador,STEREO,3,169,Salon Carreras,metal slug
74,Sri Lanka,STEREO,2,307,Salon Carreras,metal slug
102,Indonesia,MONO,3,155,Salon 2,metal slug
110,Indonesia,STEREO,4,239,Salon 1,metal slug
128,China,STEREO,5,458,Salon 6,metal slug
139,Czech Republic,STEREO,3,136,Salon VR,metal slug
171,Paraguay,MONO,5,311,Salon 2,metal slug
175,Poland,MONO,5,135,Salon VR,metal slug
199,Panama,STEREO,5,243,Salon 2,metal slug
225,China,MONO,4,165,Salon 1,metal slug
226,Philippines,MONO,4,408,Salon Retro,metal slug
228,Indonesia,STEREO,3,227,Salon Retro,metal slug
231,China,MONO,3,485,Salon 3,metal slug
261,Ireland,STEREO,4,475,Salon 1,metal slug
354,China,STEREO,3,362,Salon 2,metal slug
368,China,MONO,5,154,Salon 4,metal slug
443,Sweden,STEREO,2,354,Salon Retro,metal slug
4,United States,STEREO,3,315,Salon 6,mortal kombat
6,Indonesia,STEREO,2,481,Salon Retro,mortal kombat
53,Indonesia,STEREO,4,442,Salon 3,mortal kombat
116,Poland,MONO,3,173,Salon 6,mortal kombat
140,Armenia,STEREO,4,396,Salon 1,mortal kombat
143,China,MONO,5,333,Salon 2021,mortal kombat
147,United States,MONO,2,421,Salon 2,mortal kombat
181,United States,MONO,5,356,Salon 1,mortal kombat
203,France,STEREO,4,205,Salon 2021,mortal kombat
218,Russia,MONO,5,252,Salon 1,mortal kombat
223,Ecuador,STEREO,3,276,Salon 2,mortal kombat
227,Russia,STEREO,5,341,Salon 1,mortal kombat
245,Ivory Coast,STEREO,3,263,Salon Retro,mortal kombat
269,Venezuela,STEREO,2,349,Salon 6,mortal kombat
323,China,STEREO,5,475,Salon 2021,mortal kombat
381,Indonesia,STEREO,2,451,Salon 3,mortal kombat
406,Philippines,MONO,2,406,Salon 3,mortal kombat
454,Russia,MONO,5,390,Salon 4,mortal kombat
463,China,MONO,2,479,Salon 2021,mortal kombat
479,Indonesia,STEREO,3,148,Salon 4,mortal kombat
490,Philippines,STEREO,5,192,Salon Retro,mortal kombat
9,Russia,MONO,5,498,Salon 2021,out run
15,Sweden,STEREO,3,434,Salon 3,out run
27,Cuba,MONO,3,196,Salon VR,out run
60,Uruguay,STEREO,2,380,Salon 6,out run
71,Micronesia,STEREO,5,415,Salon VR,out run
75,Argentina,MONO,3,178,Salon 1,out run
76,China,STEREO,4,141,Salon 2021,out run
119,China,STEREO,5,474,Salon 2021,out run
132,Argentina,STEREO,2,436,Salon 2021,out run
137,France,MONO,4,289,Salon 6,out run
138,Indonesia,MONO,4,151,Salon 3,out run
152,Argentina,STEREO,3,153,Salon VR,out run
157,Estonia,MONO,2,301,Salon 2,out run
169,Philippines,STEREO,5,188,Salon 4,out run
191,Zimbabwe,STEREO,5,459,Salon 3,out run
207,China,MONO,4,455,Salon 5,out run
259,China,STEREO,2,161,Salon VR,out run
283,Greece,MONO,2,129,Salon 1,out run
288,Palestinian Territory,STEREO,4,412,Salon Retro,out run
311,Finland,STEREO,5,135,Salon 5,out run
333,China,MONO,4,311,Salon 2021,out run
377,China,STEREO,2,211,Salon Retro,out run
395,Indonesia,MONO,3,198,Salon 6,out run
401,Germany,STEREO,2,487,Salon 3,out run
441,Nauru,STEREO,2,449,Salon 3,out run
32,Afghanistan,STEREO,3,116,Salon 3,pacman
34,Russia,STEREO,5,301,Salon 6,pacman
62,China,STEREO,5,454,Salon 1,pacman
79,China,MONO,4,360,Salon 6,pacman
113,China,STEREO,3,109,Salon 2021,pacman
120,Mexico,STEREO,5,335,Salon VR,pacman
154,Indonesia,MONO,2,332,Salon 2021,pacman
177,French Guiana,STEREO,4,184,Salon 1,pacman
196,Iran,MONO,5,194,Salon 3,pacman
200,China,STEREO,2,380,Salon 1,pacman
202,Afghanistan,STEREO,2,467,Salon Carreras,pacman
204,Brazil,STEREO,2,113,Salon 6,pacman
232,Dominica,STEREO,2,386,Salon Retro,pacman
256,Mauritius,MONO,3,123,Salon 1,pacman
319,France,STEREO,3,295,Salon 2,pacman
339,France,STEREO,2,262,Salon 2021,pacman
361,China,STEREO,5,351,Salon 4,pacman
414,Chile,MONO,2,169,Salon Carreras,pacman
429,China,STEREO,4,190,Salon 3,pacman
444,Indonesia,MONO,2,134,Salon 5,pacman
447,China,MONO,5,331,Salon 6,pacman
448,Russia,STEREO,3,221,Salon 5,pacman
456,Brazil,MONO,4,119,Salon Carreras,pacman
457,Lithuania,MONO,3,211,Salon 4,pacman
470,Nigeria,MONO,2,400,Salon 2,pacman
477,Albania,MONO,4,100,Salon 3,pacman
20,Brazil,MONO,3,343,Salon 3,pong
37,Indonesia,STEREO,5,239,Salon Retro,pong
40,Greece,MONO,5,223,Salon 4,pong
41,Ireland,MONO,4,420,Salon Carreras,pong
51,Uganda,MONO,3,303,Salon 5,pong
107,Mexico,STEREO,4,472,Salon 5,pong
135,China,STEREO,3,267,Salon 2,pong
146,Slovenia,MONO,5,177,Salon 3,pong
161,Czech Republic,STEREO,2,221,Salon Carreras,pong
211,Hungary,MONO,2,355,Salon 2,pong
233,Azerbaijan,STEREO,5,209,Salon 3,pong
244,China,STEREO,4,175,Salon 6,pong
255,Japan,STEREO,3,382,Salon Carreras,pong
296,Sweden,STEREO,2,120,Salon Carreras,pong
302,Bangladesh,STEREO,3,376,Salon 2021,pong
340,Japan,MONO,2,227,Salon 4,pong
347,Brazil,STEREO,3,378,Salon Carreras,pong
356,Germany,MONO,5,499,Salon VR,pong
360,China,STEREO,4,238,Salon VR,pong
412,Ecuador,STEREO,3,238,Salon 4,pong
436,Bangladesh,MONO,3,395,Salon VR,pong
496,Mexico,MONO,4,134,Salon 4,pong
8,Japan,MONO,2,396,Salon 1,space invaders
11,China,MONO,4,278,Salon Carreras,space invaders
23,Belarus,STEREO,2,415,Salon 3,space invaders
52,Paraguay,MONO,2,107,Salon 5,space invaders
105,Philippines,STEREO,3,213,Salon Carreras,space invaders
112,China,STEREO,5,444,Salon Retro,space invaders
189,Ukraine,MONO,4,133,Salon 2021,space invaders
235,China,MONO,4,336,Salon Retro,space invaders
252,China,MONO,5,408,Salon 4,space invaders
268,Brazil,STEREO,2,101,Salon 2021,space invaders
348,South Africa,STEREO,3,478,Salon VR,space invaders
392,Peru,STEREO,5,120,Salon 3,space invaders
400,China,MONO,2,276,Salon 2,space invaders
424,Russia,MONO,5,422,Salon 1,space invaders
433,China,MONO,5,116,Salon Retro,space invaders
450,Libya,STEREO,2,441,Salon 3,space invaders
466,Czech Republic,MONO,5,132,Salon 1,space invaders
468,China,STEREO,5,370,Salon 6,space invaders
475,Philippines,MONO,2,269,Salon 4,space invaders
46,China,STEREO,4,456,Salon 5,star wars
84,Honduras,MONO,5,389,Salon 3,star wars
92,Sweden,STEREO,2,360,Salon 3,star wars
98,Indonesia,STEREO,3,479,Salon 2,star wars
109,Bulgaria,STEREO,3,284,Salon 6,star wars
121,New Caledonia,STEREO,2,293,Salon Retro,star wars
127,Peru,STEREO,3,411,Salon VR,star wars
149,Philippines,STEREO,2,150,Salon 1,star wars
150,Philippines,STEREO,3,267,Salon Carreras,star wars
209,Luxembourg,MONO,2,212,Salon 6,star wars
265,China,MONO,3,169,Salon 1,star wars
272,China,STEREO,4,241,Salon Carreras,star wars
277,Peru,MONO,5,490,Salon 5,star wars
301,Guatemala,MONO,2,463,Salon 2021,star wars
330,Philippines,MONO,4,312,Salon 2021,star wars
374,Saudi Arabia,STEREO,5,226,Salon 4,star wars
388,Philippines,STEREO,2,112,Salon 2,star wars
437,China,STEREO,3,313,Salon 1,star wars
471,Philippines,STEREO,4,478,Salon VR,star wars
480,Indonesia,MONO,3,226,Salon 6,star wars
489,Azerbaijan,STEREO,2,473,Salon 2021,star wars
35,Indonesia,STEREO,4,207,Salon Retro,street fighter ii
91,Indonesia,STEREO,4,433,Salon Retro,street fighter ii
100,China,STEREO,5,213,Salon 3,street fighter ii
141,Guatemala,STEREO,3,396,Salon 2,street fighter ii
145,Russia,MONO,5,354,Salon 3,street fighter ii
172,China,MONO,4,416,Salon 2,street fighter ii
176,Canada,STEREO,3,401,Salon Carreras,street fighter ii
260,Slovenia,STEREO,3,494,Salon Carreras,street fighter ii
264,Argentina,STEREO,2,289,Salon 2021,street fighter ii
295,Dominican Republic,MONO,5,343,Salon 5,street fighter ii
317,Indonesia,STEREO,3,236,Salon 2021,street fighter ii
332,Russia,MONO,2,255,Salon 3,street fighter ii
338,Brazil,MONO,3,262,Salon VR,street fighter ii
352,Ukraine,MONO,2,259,Salon Retro,street fighter ii
375,Brazil,MONO,2,102,Salon 3,street fighter ii
386,Iran,STEREO,4,120,Salon 6,street fighter ii
387,China,STEREO,2,401,Salon 3,street fighter ii
428,Indonesia,MONO,5,198,Salon 2,street fighter ii
431,China,MONO,5,257,Salon Retro,street fighter ii
476,China,MONO,2,130,Salon 3,street fighter ii
5,China,STEREO,5,443,Salon 3,tetris
44,Russia,MONO,5,151,Salon Carreras,tetris
57,Madagascar,MONO,3,412,Salon 5,tetris
59,Philippines,STEREO,4,303,Salon Carreras,tetris
81,Russia,STEREO,3,276,Salon Retro,tetris
97,Portugal,MONO,2,157,Salon 2,tetris
151,Thailand,MONO,4,109,Salon 5,tetris
164,China,STEREO,4,372,Salon 3,tetris
173,Ukraine,STEREO,3,468,Salon 4,tetris
180,Haiti,MONO,3,366,Salon Retro,tetris
186,Russia,MONO,3,392,Salon VR,tetris
220,China,MONO,3,276,Salon 5,tetris
230,Serbia,MONO,3,299,Salon 2,tetris
308,Canada,STEREO,2,185,Salon 2,tetris
321,Indonesia,STEREO,4,404,Salon 3,tetris
370,Kosovo,MONO,4,331,Salon 4,tetris
408,Russia,STEREO,4,201,Salon Retro,tetris
417,China,MONO,3,117,Salon 5,tetris
430,Brazil,MONO,4,442,Salon 2,tetris
455,China,MONO,2,384,Salon 4,tetris
461,Indonesia,MONO,2,148,Salon 6,tetris
462,Yemen,STEREO,5,372,Salon 4,tetris
464,China,STEREO,4,232,Salon 2021,tetris
465,Uganda,MONO,3,329,Salon 1,tetris
469,Iran,STEREO,5,466,Salon Retro,tetris
483,Afghanistan,MONO,4,331,Salon 6,tetris
495,Brazil,STEREO,5,150,Salon 3,tetris
13,Philippines,MONO,5,124,Salon Retro,tron
31,Kazakhstan,MONO,3,309,Salon 3,tron
61,Ireland,MONO,3,197,Salon 1,tron
69,Russia,MONO,5,113,Salon 1,tron
104,Portugal,STEREO,3,301,Salon 3,tron
117,Japan,MONO,5,487,Salon Carreras,tron
133,Ukraine,STEREO,2,411,Salon 2021,tron
148,Japan,STEREO,2,169,Salon 2021,tron
185,Brazil,STEREO,3,276,Salon 2,tron
210,Mongolia,MONO,5,360,Salon VR,tron
213,United States,MONO,2,349,Salon 1,tron
243,Indonesia,STEREO,2,351,Salon Retro,tron
273,China,MONO,5,171,Salon 1,tron
294,Indonesia,STEREO,4,463,Salon Carreras,tron
324,Namibia,STEREO,4,208,Salon 2,tron
344,Dominican Republic,MONO,3,436,Salon 2,tron
359,Ireland,MONO,4,334,Salon VR,tron
411,China,STEREO,2,429,Salon 3,tron
434,Mauritania,MONO,5,401,Salon Carreras,tron
438,Pakistan,STEREO,2,194,Salon 4,tron
481,Indonesia,MONO,5,488,Salon Retro,tron
10,Indonesia,STEREO,2,320,Salon 2021,virtua cop
18,Sweden,MONO,2,380,Salon 2021,virtua cop
19,Ethiopia,MONO,2,105,Salon 6,virtua cop
24,Sri Lanka,STEREO,5,333,Salon 1,virtua cop
45,Indonesia,STEREO,3,315,Salon 6,virtua cop
54,Greece,MONO,2,454,Salon 2021,virtua cop
64,Japan,MONO,3,260,Salon 2,virtua cop
82,New Zealand,STEREO,4,206,Salon 6,virtua cop
101,Estonia,MONO,4,215,Salon 3,virtua cop
111,Russia,MONO,3,429,Salon Carreras,virtua cop
122,Portugal,STEREO,3,106,Salon 1,virtua cop
129,Peru,STEREO,2,422,Salon 3,virtua cop
190,Philippines,STEREO,3,375,Salon 4,virtua cop
216,Indonesia,MONO,2,116,Salon Retro,virtua cop
236,Bulgaria,MONO,4,471,Salon VR,virtua cop
253,China,MONO,5,330,Salon 1,virtua cop
282,Malaysia,MONO,4,421,Salon 1,virtua cop
307,Sweden,MONO,2,379,Salon 3,virtua cop
314,Indonesia,STEREO,2,145,Salon 4,virtua cop
357,Comoros,MONO,2,348,Salon Carreras,virtua cop
358,Costa Rica,STEREO,4,483,Salon Carreras,virtua cop
373,Russia,STEREO,2,297,Salon 2,virtua cop
394,Brazil,MONO,5,195,Salon 6,virtua cop
407,Poland,MONO,2,215,Salon VR,virtua cop
486,Netherlands,STEREO,2,163,Salon 2021,virtua cop
501,asd,ESTEREO,23,12,sdf,xcv
